field,value,count
mcs,0,6077
mcs,1,44
mcs,2,132
mcs,3,88
mcs,4,132
mcs,5,88
mcs,6,246
mcs,7,391
mcs,8,14916
mcs,9,44660
mcs,10,264
mcs,11,511
width,20,4113
width,40,7172
width,80,56264
nss,1,7502
nss,2,60047
total_phy_tx,0,67549
rx_bytes_total,0,7302400
