time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,11067000,177.0720
1.5000,20.000,13020000,208.3200
2.0000,20.000,16865800,269.8528
2.5000,20.000,17200400,275.2064
3.0000,20.000,16052400,256.8384
3.5000,20.000,16188200,259.0112
4.0000,20.000,16392600,262.2816
4.5000,20.000,16426200,262.8192
5.0000,20.000,15702400,251.2384
5.5000,20.000,15309000,244.9440
6.0000,20.000,15591800,249.4688
6.5000,20.000,16454200,263.2672
7.0000,20.000,16779000,268.4640
7.5000,20.000,16483600,263.7376
8.0000,20.000,16811200,268.9792
8.5000,20.000,16949800,271.1968
9.0000,20.000,16038400,256.6144
9.5000,20.000,17021200,272.3392
10.0000,20.000,15919400,254.7104
