time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,34302800,548.8448
1.5000,16.000,34276200,548.4192
2.0000,21.000,33031600,528.5056
2.5000,26.000,31668000,506.6880
3.0000,31.000,31526600,504.4256
3.5000,36.000,27885200,446.1632
4.0000,41.000,30655800,490.4928
4.5000,46.000,30403800,486.4608
5.0000,51.000,26474000,423.5840
5.5000,56.000,26377400,422.0384
6.0000,61.000,25634000,410.1440
6.5000,66.000,19191200,307.0592
7.0000,71.000,17658200,282.5312
7.5000,76.000,17287200,276.5952
8.0000,81.000,18466000,295.4560
