time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,16660000,266.5600
1.5000,20.000,15520400,248.3264
2.0000,20.000,15775200,252.4032
2.5000,20.000,16403800,262.4608
3.0000,20.000,15080800,241.2928
3.5000,20.000,15929200,254.8672
4.0000,20.000,16098600,257.5776
4.5000,20.000,13909000,222.5440
5.0000,20.000,15657600,250.5216
5.5000,20.000,17322200,277.1552
6.0000,20.000,15069600,241.1136
6.5000,20.000,14728000,235.6480
7.0000,20.000,16130800,258.0928
7.5000,20.000,16308600,260.9376
8.0000,20.000,15527400,248.4384
8.5000,20.000,16948400,271.1744
9.0000,20.000,15423800,246.7808
9.5000,20.000,15569400,249.1104
10.0000,20.000,17582600,281.3216
