time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,12630800,202.0928
1.5000,20.000,14154000,226.4640
2.0000,20.000,14981400,239.7024
2.5000,20.000,14380800,230.0928
3.0000,20.000,13714400,219.4304
3.5000,20.000,14421400,230.7424
4.0000,20.000,14306600,228.9056
4.5000,20.000,12740000,203.8400
5.0000,20.000,15789200,252.6272
5.5000,20.000,17556000,280.8960
6.0000,20.000,14793800,236.7008
6.5000,20.000,15309000,244.9440
7.0000,20.000,16389800,262.2368
7.5000,20.000,16590000,265.4400
8.0000,20.000,15824200,253.1872
8.5000,20.000,17416000,278.6560
9.0000,20.000,16303000,260.8480
9.5000,20.000,15738800,251.8208
10.0000,20.000,16970800,271.5328
