time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,441000,7.0560
1.5000,20.000,243600,3.8976
2.0000,20.000,389200,6.2272
2.5000,20.000,331800,5.3088
3.0000,20.000,485800,7.7728
3.5000,20.000,796600,12.7456
4.0000,20.000,1295000,20.7200
4.5000,20.000,1719200,27.5072
5.0000,20.000,1967000,31.4720
5.5000,20.000,2749600,43.9936
6.0000,20.000,3012800,48.2048
6.5000,20.000,2972200,47.5552
7.0000,20.000,3220000,51.5200
7.5000,20.000,2853200,45.6512
8.0000,20.000,3361400,53.7824
8.5000,20.000,3663800,58.6208
9.0000,20.000,6028400,96.4544
9.5000,20.000,6073200,97.1712
10.0000,20.000,6354600,101.6736
