time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,31567200,505.0752
1.5000,8.500,26513200,424.2112
2.0000,11.000,22327200,357.2352
2.5000,13.500,19489400,311.8304
3.0000,16.000,13029800,208.4768
3.5000,18.500,11083800,177.3408
4.0000,21.000,8974000,143.5840
4.5000,23.500,8173200,130.7712
5.0000,26.000,6003200,96.0512
5.5000,28.500,6391000,102.2560
6.0000,31.000,3847200,61.5552
6.5000,33.500,2783200,44.5312
7.0000,36.000,2419200,38.7072
7.5000,38.500,1850800,29.6128
8.0000,41.000,1446200,23.1392
8.5000,43.500,973000,15.5680
9.0000,46.000,863800,13.8208
9.5000,48.500,508200,8.1312
10.0000,51.000,239400,3.8304
