field,value,count
mcs,0,1495
mcs,1,1753
mcs,2,792
mcs,3,3080
mcs,4,33484
mcs,5,21780
mcs,6,25413
mcs,7,23660
mcs,8,96932
mcs,9,36036
mcs,10,10024
mcs,11,7084
width,20,9524
width,40,57416
width,80,194593
nss,1,41948
nss,2,219585
total_phy_tx,0,261533
rx_bytes_total,0,314538000
