time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,21915600,350.6496
1.5000,16.000,16500400,264.0064
2.0000,21.000,10089800,161.4368
2.5000,26.000,7169400,114.7104
3.0000,31.000,3753400,60.0544
3.5000,36.000,3022600,48.3616
4.0000,41.000,1611400,25.7824
4.5000,46.000,1300600,20.8096
5.0000,51.000,446600,7.1456
5.5000,56.000,289800,4.6368
6.0000,61.000,15400,0.2464
6.5000,66.000,64400,1.0304
7.0000,71.000,0,0.0000
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
