time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,30884000,494.1440
1.5000,8.500,28644000,458.3040
2.0000,11.000,20596800,329.5488
2.5000,13.500,15607200,249.7152
3.0000,16.000,14485800,231.7728
3.5000,18.500,9473800,151.5808
4.0000,21.000,7952000,127.2320
4.5000,23.500,6260800,100.1728
5.0000,26.000,5364800,85.8368
5.5000,28.500,3295600,52.7296
6.0000,31.000,2105600,33.6896
6.5000,33.500,1625400,26.0064
7.0000,36.000,1846600,29.5456
7.5000,38.500,1061200,16.9792
8.0000,41.000,904400,14.4704
8.5000,43.500,614600,9.8336
9.0000,46.000,415800,6.6528
9.5000,48.500,453600,7.2576
10.0000,51.000,149800,2.3968
