field,value,count
mcs,0,348
mcs,7,836
mcs,8,52659
mcs,9,225576
mcs,10,74041
mcs,11,200739
width,20,128
width,80,554071
nss,1,348
nss,2,553851
total_phy_tx,0,554199
rx_bytes_total,0,746650800
