field,value,count
mcs,0,5051
mcs,1,549
mcs,2,1100
mcs,3,4674
mcs,4,8318
mcs,5,10490
mcs,6,21278
mcs,7,33596
mcs,8,10428
mcs,9,13332
mcs,10,4356
mcs,11,4431
width,20,6928
width,40,13914
width,80,96761
nss,1,17943
nss,2,99660
total_phy_tx,0,117603
rx_bytes_total,0,68378800
