field,value,count
mcs,0,5216
mcs,1,383
mcs,2,981
mcs,3,1058
mcs,4,2575
mcs,5,6719
mcs,6,10876
mcs,7,10012
mcs,8,3652
mcs,9,1672
mcs,10,1628
mcs,11,2145
width,20,4543
width,40,13996
width,80,28378
nss,1,13764
nss,2,33153
total_phy_tx,0,46917
rx_bytes_total,0,22905400
