time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,34389600,550.2336
1.5000,4.000,33773600,540.3776
2.0000,5.000,29950200,479.2032
2.5000,6.000,30205000,483.2800
3.0000,7.000,28289800,452.6368
3.5000,8.000,22864800,365.8368
4.0000,9.000,24018400,384.2944
4.5000,10.000,23843400,381.4944
5.0000,11.000,20272000,324.3520
5.5000,12.000,18545800,296.7328
6.0000,13.000,16024400,256.3904
6.5000,14.000,18481400,295.7024
7.0000,15.000,13384000,214.1440
7.5000,16.000,10726800,171.6288
8.0000,17.000,11316200,181.0592
8.5000,18.000,13353200,213.6512
9.0000,19.000,13178200,210.8512
9.5000,20.000,8692600,139.0816
10.0000,21.000,9093000,145.4880
