field,value,count
mcs,0,293
mcs,6,37092
mcs,7,440
mcs,8,121220
mcs,9,216920
mcs,10,48356
mcs,11,97348
width,20,128
width,80,521541
nss,1,381
nss,2,521288
total_phy_tx,0,521669
rx_bytes_total,0,708499400
