time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,36587600,585.4016
1.5000,4.000,35652400,570.4384
2.0000,5.000,32576600,521.2256
2.5000,6.000,31609200,505.7472
3.0000,7.000,27819400,445.1104
3.5000,8.000,26304600,420.8736
4.0000,9.000,24227000,387.6320
4.5000,10.000,19114200,305.8272
5.0000,11.000,17703000,283.2480
5.5000,12.000,13930000,222.8800
6.0000,13.000,11734800,187.7568
6.5000,14.000,9961000,159.3760
7.0000,15.000,9196600,147.1456
7.5000,16.000,7152600,114.4416
8.0000,17.000,7476000,119.6160
8.5000,18.000,6353200,101.6512
9.0000,19.000,5199600,83.1936
9.5000,20.000,4106200,65.6992
10.0000,21.000,3388000,54.2080
