time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,33741400,539.8624
1.5000,4.000,33875800,542.0128
2.0000,5.000,31987200,511.7952
2.5000,6.000,29314600,469.0336
3.0000,7.000,28609000,457.7440
3.5000,8.000,25683000,410.9280
4.0000,9.000,21194600,339.1136
4.5000,10.000,20830600,333.2896
5.0000,11.000,17140200,274.2432
5.5000,12.000,14560000,232.9600
6.0000,13.000,11323200,181.1712
6.5000,14.000,11317600,181.0816
7.0000,15.000,9412200,150.5952
7.5000,16.000,8129800,130.0768
8.0000,17.000,5852000,93.6320
8.5000,18.000,5828200,93.2512
9.0000,19.000,6098400,97.5744
9.5000,20.000,5089000,81.4240
10.0000,21.000,4846800,77.5488
