field,value,count
mcs,0,4448
mcs,1,1791
mcs,2,3152
mcs,3,1561
mcs,4,17277
mcs,5,6460
mcs,6,17045
mcs,7,9288
mcs,8,8184
mcs,9,2992
mcs,10,4205
mcs,11,2772
width,20,7625
width,40,20802
width,80,50748
nss,1,21035
nss,2,58140
total_phy_tx,0,79175
rx_bytes_total,0,65399600
