time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,30942800,495.0848
1.5000,8.500,27683600,442.9376
2.0000,11.000,23486400,375.7824
2.5000,13.500,15743000,251.8880
3.0000,16.000,13973400,223.5744
3.5000,18.500,9937200,158.9952
4.0000,21.000,8148000,130.3680
4.5000,23.500,5955600,95.2896
5.0000,26.000,4572400,73.1584
5.5000,28.500,3803800,60.8608
6.0000,31.000,3133200,50.1312
6.5000,33.500,2121000,33.9360
7.0000,36.000,1562400,24.9984
7.5000,38.500,1237600,19.8016
8.0000,41.000,901600,14.4256
8.5000,43.500,919800,14.7168
9.0000,46.000,663600,10.6176
9.5000,48.500,420000,6.7200
10.0000,51.000,116200,1.8592
