time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,31878000,510.0480
1.5000,8.500,27146000,434.3360
2.0000,11.000,20421800,326.7488
2.5000,13.500,17252200,276.0352
3.0000,16.000,14820400,237.1264
3.5000,18.500,11888800,190.2208
4.0000,21.000,7352800,117.6448
4.5000,23.500,5957000,95.3120
5.0000,26.000,4816000,77.0560
5.5000,28.500,3557400,56.9184
6.0000,31.000,3575600,57.2096
6.5000,33.500,1941800,31.0688
7.0000,36.000,1008000,16.1280
7.5000,38.500,1330000,21.2800
8.0000,41.000,743400,11.8944
8.5000,43.500,814800,13.0368
9.0000,46.000,1075200,17.2032
9.5000,48.500,768600,12.2976
10.0000,51.000,221200,3.5392
