time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,40276600,644.4256
1.5000,1.000,38819200,621.1072
2.0000,1.000,40056800,640.9088
2.5000,1.000,39324600,629.1936
3.0000,1.000,39956000,639.2960
3.5000,1.000,38887800,622.2048
4.0000,1.000,40017600,640.2816
4.5000,1.000,37746800,603.9488
5.0000,1.000,39075400,625.2064
5.5000,1.000,39183200,626.9312
6.0000,1.000,36590400,585.4464
6.5000,1.000,37711800,603.3888
7.0000,1.000,37773400,604.3744
7.5000,1.000,38315200,613.0432
8.0000,1.000,36849400,589.5904
8.5000,1.000,39090800,625.4528
9.0000,1.000,36751400,588.0224
9.5000,1.000,38099600,609.5936
10.0000,1.000,38253600,612.0576
