time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,30566200,489.0592
1.5000,8.500,27392400,438.2784
2.0000,11.000,24404800,390.4768
2.5000,13.500,17061800,272.9888
3.0000,16.000,13994400,223.9104
3.5000,18.500,13687800,219.0048
4.0000,21.000,8877400,142.0384
4.5000,23.500,8601600,137.6256
5.0000,26.000,7093800,113.5008
5.5000,28.500,5178600,82.8576
6.0000,31.000,3872400,61.9584
6.5000,33.500,3252200,52.0352
7.0000,36.000,1786400,28.5824
7.5000,38.500,1570800,25.1328
8.0000,41.000,1387400,22.1984
8.5000,43.500,865200,13.8432
9.0000,46.000,495600,7.9296
9.5000,48.500,527800,8.4448
10.0000,51.000,350000,5.6000
