time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,35967400,575.4784
1.5000,4.000,34519800,552.3168
2.0000,5.000,33308800,532.9408
2.5000,6.000,30311400,484.9824
3.0000,7.000,26917800,430.6848
3.5000,8.000,23209200,371.3472
4.0000,9.000,18229400,291.6704
4.5000,10.000,17684800,282.9568
5.0000,11.000,13788600,220.6176
5.5000,12.000,14239400,227.8304
6.0000,13.000,11712400,187.3984
6.5000,14.000,10838800,173.4208
7.0000,15.000,9756600,156.1056
7.5000,16.000,7618800,121.9008
8.0000,17.000,6238400,99.8144
8.5000,18.000,6484800,103.7568
9.0000,19.000,5265400,84.2464
9.5000,20.000,4100600,65.6096
10.0000,21.000,4345600,69.5296
