field,value,count
mcs,0,2316
mcs,1,132
mcs,2,748
mcs,3,4884
mcs,4,22660
mcs,5,89232
mcs,6,36784
mcs,7,72776
mcs,8,47124
mcs,9,64064
mcs,10,7128
mcs,11,7301
width,20,1598
width,40,13546
width,80,340005
nss,1,14768
nss,2,340381
total_phy_tx,0,355149
rx_bytes_total,0,360851400
