time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,35816200,573.0592
1.5000,4.000,36394400,582.3104
2.0000,5.000,33986400,543.7824
2.5000,6.000,29705200,475.2832
3.0000,7.000,27577200,441.2352
3.5000,8.000,25295200,404.7232
4.0000,9.000,22919400,366.7104
4.5000,10.000,21415800,342.6528
5.0000,11.000,19000800,304.0128
5.5000,12.000,19062400,304.9984
6.0000,13.000,15405600,246.4896
6.5000,14.000,12027400,192.4384
7.0000,15.000,10061800,160.9888
7.5000,16.000,8953000,143.2480
8.0000,17.000,8213800,131.4208
8.5000,18.000,6836200,109.3792
9.0000,19.000,6991600,111.8656
9.5000,20.000,5411000,86.5760
10.0000,21.000,4662000,74.5920
