field,value,count
mcs,0,3604
mcs,1,1416
mcs,2,2736
mcs,3,9113
mcs,4,49835
mcs,5,19952
mcs,6,30411
mcs,7,38289
mcs,8,25696
mcs,9,4664
mcs,10,7038
mcs,11,4664
width,20,11697
width,40,24308
width,80,161413
nss,1,24372
nss,2,173046
total_phy_tx,0,197418
rx_bytes_total,0,171955000
