time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,40264000,644.2240
1.5000,1.000,41074600,657.1936
2.0000,1.000,42221200,675.5392
2.5000,1.000,42200200,675.2032
3.0000,1.000,42456400,679.3024
3.5000,1.000,34930000,558.8800
4.0000,1.000,41178200,658.8512
4.5000,1.000,40343800,645.5008
5.0000,1.000,37949800,607.1968
5.5000,1.000,38577000,617.2320
6.0000,1.000,38883600,622.1376
6.5000,1.000,37475200,599.6032
7.0000,1.000,38999800,623.9968
7.5000,1.000,37118200,593.8912
8.0000,1.000,40553800,648.8608
8.5000,1.000,40674200,650.7872
9.0000,1.000,37902200,606.4352
9.5000,1.000,40705000,651.2800
10.0000,1.000,39972800,639.5648
