field,value,count
mcs,0,3486
mcs,1,1453
mcs,2,2965
mcs,3,3678
mcs,4,40268
mcs,5,35831
mcs,6,13665
mcs,7,33571
mcs,8,49104
mcs,9,18348
mcs,10,4312
mcs,11,4928
width,20,11076
width,40,29499
width,80,171034
nss,1,27542
nss,2,184067
total_phy_tx,0,211609
rx_bytes_total,0,177032800
