time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,26832400,429.3184
1.5000,16.000,15226400,243.6224
2.0000,21.000,9843400,157.4944
2.5000,26.000,6367200,101.8752
3.0000,31.000,3950800,63.2128
3.5000,36.000,2700600,43.2096
4.0000,41.000,1569400,25.1104
4.5000,46.000,814800,13.0368
5.0000,51.000,684600,10.9536
5.5000,56.000,221200,3.5392
6.0000,61.000,187600,3.0016
6.5000,66.000,0,0.0000
7.0000,71.000,0,0.0000
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
