field,value,count
mcs,0,3545
mcs,1,1168
mcs,2,2264
mcs,3,4216
mcs,4,39449
mcs,5,20690
mcs,6,20019
mcs,7,52120
mcs,8,26488
mcs,9,23188
mcs,10,4389
mcs,11,5291
width,20,10583
width,40,34358
width,80,157886
nss,1,24136
nss,2,178691
total_phy_tx,0,202827
rx_bytes_total,0,171232600
