field,value,count
mcs,0,1738
mcs,1,1892
mcs,2,8976
mcs,3,18216
mcs,4,49676
mcs,5,16940
mcs,6,23232
mcs,7,55528
mcs,8,20152
mcs,9,120120
mcs,10,16676
mcs,11,24332
mcs,12,7040
mcs,13,8399
width,20,127
width,80,372790
nss,1,1738
nss,2,371179
total_phy_tx,0,372917
rx_bytes_total,0,417099200
