time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,32048800,512.7808
1.5000,8.500,27452600,439.2416
2.0000,11.000,19367600,309.8816
2.5000,13.500,18397400,294.3584
3.0000,16.000,15272600,244.3616
3.5000,18.500,11494000,183.9040
4.0000,21.000,8201200,131.2192
4.5000,23.500,7085400,113.3664
5.0000,26.000,5198200,83.1712
5.5000,28.500,3262000,52.1920
6.0000,31.000,2587200,41.3952
6.5000,33.500,2436000,38.9760
7.0000,36.000,1736000,27.7760
7.5000,38.500,1474200,23.5872
8.0000,41.000,1069600,17.1136
8.5000,43.500,996800,15.9488
9.0000,46.000,533400,8.5344
9.5000,48.500,142800,2.2848
10.0000,51.000,67200,1.0752
