field,value,count
mcs,0,4475
mcs,1,2176
mcs,2,3055
mcs,3,2311
mcs,4,8014
mcs,5,7089
mcs,6,7864
mcs,7,16312
mcs,8,11836
mcs,9,8349
mcs,10,3113
mcs,11,2200
width,20,9081
width,40,19162
width,80,48551
nss,1,20546
nss,2,56248
total_phy_tx,0,76794
rx_bytes_total,0,66966200
