time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,29667400,474.6784
1.5000,8.500,27024200,432.3872
2.0000,11.000,22932000,366.9120
2.5000,13.500,17754800,284.0768
3.0000,16.000,16272200,260.3552
3.5000,18.500,14043400,224.6944
4.0000,21.000,11026400,176.4224
4.5000,23.500,8801800,140.8288
5.0000,26.000,7585200,121.3632
5.5000,28.500,5070800,81.1328
6.0000,31.000,4625600,74.0096
6.5000,33.500,3292800,52.6848
7.0000,36.000,2696400,43.1424
7.5000,38.500,1911000,30.5760
8.0000,41.000,1429400,22.8704
8.5000,43.500,1206800,19.3088
9.0000,46.000,1023400,16.3744
9.5000,48.500,737800,11.8048
10.0000,51.000,674800,10.7968
