time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,32753000,524.0480
1.5000,4.000,31154200,498.4672
2.0000,5.000,31082800,497.3248
2.5000,6.000,29939000,479.0240
3.0000,7.000,25400200,406.4032
3.5000,8.000,23135000,370.1600
4.0000,9.000,23884000,382.1440
4.5000,10.000,17504200,280.0672
5.0000,11.000,18772600,300.3616
5.5000,12.000,16336600,261.3856
6.0000,13.000,15411200,246.5792
6.5000,14.000,12983600,207.7376
7.0000,15.000,15324400,245.1904
7.5000,16.000,14025200,224.4032
8.0000,17.000,14621600,233.9456
8.5000,18.000,14303800,228.8608
9.0000,19.000,11853800,189.6608
9.5000,20.000,8176000,130.8160
10.0000,21.000,9370200,149.9232
