time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,36615600,585.8496
1.5000,4.000,36016400,576.2624
2.0000,5.000,34169800,546.7168
2.5000,6.000,32120200,513.9232
3.0000,7.000,30305800,484.8928
3.5000,8.000,28512400,456.1984
4.0000,9.000,25100600,401.6096
4.5000,10.000,24901800,398.4288
5.0000,11.000,22199800,355.1968
5.5000,12.000,21602000,345.6320
6.0000,13.000,20760600,332.1696
6.5000,14.000,17906000,286.4960
7.0000,15.000,19836600,317.3856
7.5000,16.000,15311800,244.9888
8.0000,17.000,14144200,226.3072
8.5000,18.000,12079200,193.2672
9.0000,19.000,11562600,185.0016
9.5000,20.000,10017000,160.2720
10.0000,21.000,10115000,161.8400
