time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,26937400,430.9984
1.5000,16.000,15236200,243.7792
2.0000,21.000,9406600,150.5056
2.5000,26.000,6049400,96.7904
3.0000,31.000,3644200,58.3072
3.5000,36.000,2228800,35.6608
4.0000,41.000,1649200,26.3872
4.5000,46.000,946400,15.1424
5.0000,51.000,478800,7.6608
5.5000,56.000,305200,4.8832
6.0000,61.000,47600,0.7616
6.5000,66.000,36400,0.5824
7.0000,71.000,0,0.0000
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
