field,value,count
mcs,0,4447
mcs,1,5720
mcs,2,14212
mcs,3,14608
mcs,4,17952
mcs,5,6204
mcs,6,6952
mcs,7,16412
mcs,8,4444
mcs,9,17798
mcs,10,309
mcs,11,50
width,20,131
width,80,108977
nss,1,4447
nss,2,104661
total_phy_tx,0,109108
rx_bytes_total,0,81887400
