time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,29934800,478.9568
1.5000,8.500,27189400,435.0304
2.0000,11.000,23368800,373.9008
2.5000,13.500,20540800,328.6528
3.0000,16.000,16885400,270.1664
3.5000,18.500,12980800,207.6928
4.0000,21.000,11579400,185.2704
4.5000,23.500,11008200,176.1312
5.0000,26.000,9501800,152.0288
5.5000,28.500,6169800,98.7168
6.0000,31.000,4649400,74.3904
6.5000,33.500,3731000,59.6960
7.0000,36.000,2249800,35.9968
7.5000,38.500,1407000,22.5120
8.0000,41.000,1108800,17.7408
8.5000,43.500,915600,14.6496
9.0000,46.000,554400,8.8704
9.5000,48.500,492800,7.8848
10.0000,51.000,61600,0.9856
