time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,33080600,529.2896
1.5000,1.000,34032600,544.5216
2.0000,1.000,32872000,525.9520
2.5000,1.000,37903600,606.4576
3.0000,1.000,38809400,620.9504
3.5000,1.000,39453400,631.2544
4.0000,1.000,40094600,641.5136
4.5000,1.000,40769400,652.3104
5.0000,1.000,38649800,618.3968
5.5000,1.000,36978200,591.6512
6.0000,1.000,38917200,622.6752
6.5000,1.000,37549400,600.7904
7.0000,1.000,32265800,516.2528
7.5000,1.000,35974400,575.5904
8.0000,1.000,35973000,575.5680
8.5000,1.000,33604200,537.6672
9.0000,1.000,32001200,512.0192
9.5000,1.000,37900800,606.4128
10.0000,1.000,37699200,603.1872
