time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,19828200,317.2512
1.5000,16.000,14770000,236.3200
2.0000,21.000,9105600,145.6896
2.5000,26.000,6679400,106.8704
3.0000,31.000,4072600,65.1616
3.5000,36.000,2468200,39.4912
4.0000,41.000,1398600,22.3776
4.5000,46.000,925400,14.8064
5.0000,51.000,558600,8.9376
5.5000,56.000,320600,5.1296
6.0000,61.000,89600,1.4336
6.5000,66.000,46200,0.7392
7.0000,71.000,4200,0.0672
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
