field,value,count
mcs,0,133
mcs,3,176
mcs,4,308
mcs,5,132
mcs,6,660
mcs,7,2288
mcs,8,1276
mcs,9,41712
mcs,10,17028
mcs,11,94336
mcs,12,60627
mcs,13,425260
width,20,129
width,80,643807
nss,1,133
nss,2,643803
total_phy_tx,0,643936
rx_bytes_total,0,891109800
