time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,39186000,626.9760
1.5000,1.000,40154800,642.4768
2.0000,1.000,41272000,660.3520
2.5000,1.000,41272000,660.3520
3.0000,1.000,41210400,659.3664
3.5000,1.000,35126000,562.0160
4.0000,1.000,38523800,616.3808
4.5000,1.000,37994600,607.9136
5.0000,1.000,37597000,601.5520
5.5000,1.000,37147600,594.3616
6.0000,1.000,37833600,605.3376
6.5000,1.000,35575400,569.2064
7.0000,1.000,36986600,591.7856
7.5000,1.000,33303200,532.8512
8.0000,1.000,35046200,560.7392
8.5000,1.000,34998600,559.9776
9.0000,1.000,34942600,559.0816
9.5000,1.000,35133000,562.1280
10.0000,1.000,35196000,563.1360
