time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,24400600,390.4096
1.5000,16.000,15831200,253.2992
2.0000,21.000,9643200,154.2912
2.5000,26.000,4859400,77.7504
3.0000,31.000,3351600,53.6256
3.5000,36.000,2178400,34.8544
4.0000,41.000,1129800,18.0768
4.5000,46.000,728000,11.6480
5.0000,51.000,422800,6.7648
5.5000,56.000,168000,2.6880
6.0000,61.000,79800,1.2768
6.5000,66.000,86800,1.3888
7.0000,71.000,0,0.0000
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
