time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,28068600,449.0976
1.5000,8.500,23793000,380.6880
2.0000,11.000,18865000,301.8400
2.5000,13.500,16223200,259.5712
3.0000,16.000,11365200,181.8432
3.5000,18.500,7221200,115.5392
4.0000,21.000,5899600,94.3936
4.5000,23.500,4440800,71.0528
5.0000,26.000,3950800,63.2128
5.5000,28.500,3073000,49.1680
6.0000,31.000,2226000,35.6160
6.5000,33.500,1597400,25.5584
7.0000,36.000,1027600,16.4416
7.5000,38.500,708400,11.3344
8.0000,41.000,534800,8.5568
8.5000,43.500,212800,3.4048
9.0000,46.000,411600,6.5856
9.5000,48.500,282800,4.5248
10.0000,51.000,40600,0.6496
