field,value,count
mcs,0,3475
mcs,1,8492
mcs,2,22352
mcs,3,25696
mcs,4,42504
mcs,5,11440
mcs,6,13200
mcs,7,25960
mcs,8,8360
mcs,9,45439
mcs,10,3784
mcs,11,3872
mcs,12,748
mcs,13,88
width,20,128
width,80,215282
nss,1,3475
nss,2,211935
total_phy_tx,0,215410
rx_bytes_total,0,182515200
