field,value,count
mcs,0,638
mcs,7,44
mcs,8,31988
mcs,9,187429
mcs,10,118653
mcs,11,219045
width,20,128
width,80,557669
nss,1,638
nss,2,557159
total_phy_tx,0,557797
rx_bytes_total,0,730601200
