field,value,count
mcs,0,5362
mcs,1,357
mcs,2,748
mcs,3,1558
mcs,4,6820
mcs,5,7819
mcs,6,2376
mcs,7,19443
mcs,8,1936
mcs,9,2684
mcs,10,1925
mcs,11,2860
width,20,3202
width,40,6886
width,80,43800
nss,1,13550
nss,2,40338
total_phy_tx,0,53888
rx_bytes_total,0,23510200
