time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,31596600,505.5456
1.5000,1.000,32086600,513.3856
2.0000,1.000,36782200,588.5152
2.5000,1.000,40814200,653.0272
3.0000,1.000,41430200,662.8832
3.5000,1.000,35168000,562.6880
4.0000,1.000,39037600,624.6016
4.5000,1.000,39719400,635.5104
5.0000,1.000,35855400,573.6864
5.5000,1.000,36671600,586.7456
6.0000,1.000,38488800,615.8208
6.5000,1.000,37007600,592.1216
7.0000,1.000,39174800,626.7968
7.5000,1.000,37546600,600.7456
8.0000,1.000,40961200,655.3792
8.5000,1.000,41893600,670.2976
9.0000,1.000,34655600,554.4896
9.5000,1.000,39740400,635.8464
10.0000,1.000,33699400,539.1904
