time_s,distance_m,rx_bytes,throughput_mbps
1.0000,2.000,35980000,575.6800
1.5000,2.500,37129400,594.0704
2.0000,3.000,36101800,577.6288
2.5000,3.500,34573000,553.1680
3.0000,4.000,36653400,586.4544
3.5000,4.500,31494400,503.9104
4.0000,5.000,30403800,486.4608
4.5000,5.500,28624400,457.9904
5.0000,6.000,25165000,402.6400
5.5000,6.500,28074200,449.1872
6.0000,7.000,23679600,378.8736
6.5000,7.500,24144400,386.3104
7.0000,8.000,25006800,400.1088
7.5000,8.500,22654800,362.4768
8.0000,9.000,22806000,364.8960
8.5000,9.500,21421400,342.7424
9.0000,10.000,21372400,341.9584
9.5000,10.500,18145400,290.3264
10.0000,11.000,19437600,311.0016
