field,value,count
mcs,0,141
mcs,2,44
mcs,3,44
mcs,4,748
mcs,5,176
mcs,6,1012
mcs,7,3916
mcs,8,2200
mcs,9,44396
mcs,10,28468
mcs,11,91551
mcs,12,57948
mcs,13,408760
width,20,128
width,80,639276
nss,1,141
nss,2,639263
total_phy_tx,0,639404
rx_bytes_total,0,884672600
