field,value,count
mcs,0,4113
mcs,1,949
mcs,2,1477
mcs,3,6527
mcs,4,25807
mcs,5,60681
mcs,6,19041
mcs,7,12960
mcs,8,10772
mcs,9,71984
mcs,10,6556
mcs,11,7524
width,20,8314
width,40,20982
width,80,199095
nss,1,27323
nss,2,201068
total_phy_tx,0,228391
rx_bytes_total,0,166084800
