time_s,distance_m,rx_bytes,throughput_mbps
1.0000,2.000,34717200,555.4752
1.5000,2.500,34654200,554.4672
2.0000,3.000,33989200,543.8272
2.5000,3.500,31619000,505.9040
3.0000,4.000,33832400,541.3184
3.5000,4.500,33287800,532.6048
4.0000,5.000,32828600,525.2576
4.5000,5.500,30714600,491.4336
5.0000,6.000,27073200,433.1712
5.5000,6.500,25821600,413.1456
6.0000,7.000,22747200,363.9552
6.5000,7.500,22751400,364.0224
7.0000,8.000,23207800,371.3248
7.5000,8.500,22922200,366.7552
8.0000,9.000,20405000,326.4800
8.5000,9.500,20785800,332.5728
9.0000,10.000,19268200,308.2912
9.5000,10.500,17885000,286.1600
10.0000,11.000,17417400,278.6784
