field,value,count
mcs,0,830
mcs,8,47828
mcs,9,169474
mcs,10,110263
mcs,11,226040
width,20,127
width,80,554308
nss,1,830
nss,2,553605
total_phy_tx,0,554435
rx_bytes_total,0,716713200
