field,value,count
mcs,0,4543
mcs,1,5544
mcs,2,15224
mcs,3,13068
mcs,4,20592
mcs,5,6380
mcs,6,6908
mcs,7,14036
mcs,8,4840
mcs,9,19003
mcs,10,176
mcs,11,88
width,20,128
width,80,110274
nss,1,4543
nss,2,105859
total_phy_tx,0,110402
rx_bytes_total,0,82992000
