time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,32484200,519.7472
1.5000,1.000,33653200,538.4512
2.0000,1.000,35445200,567.1232
2.5000,1.000,44793000,716.6880
3.0000,1.000,33320000,533.1200
3.5000,1.000,18586400,297.3824
4.0000,1.000,43317400,693.0784
4.5000,1.000,34652800,554.4448
5.0000,1.000,33111400,529.7824
5.5000,1.000,34771800,556.3488
6.0000,1.000,38789800,620.6368
6.5000,1.000,33334000,533.3440
7.0000,1.000,43622600,697.9616
7.5000,1.000,21376600,342.0256
8.0000,1.000,44027200,704.4352
8.5000,1.000,43982400,703.7184
9.0000,1.000,22901200,366.4192
9.5000,1.000,40021800,640.3488
10.0000,1.000,24378200,390.0512
