field,value,count
mcs,0,6004
mcs,1,44
mcs,2,88
mcs,3,1131
mcs,4,176
mcs,5,10165
mcs,6,221
mcs,7,7349
mcs,8,1453
mcs,9,39602
mcs,10,224
mcs,11,390
width,20,3279
width,40,781
width,80,62787
nss,1,6798
nss,2,60049
total_phy_tx,0,66847
rx_bytes_total,0,8738800
