field,value,count
mcs,0,4327
mcs,1,647
mcs,2,2883
mcs,3,4361
mcs,4,41716
mcs,5,57438
mcs,6,9134
mcs,7,19120
mcs,8,3344
mcs,9,85668
mcs,10,8448
mcs,11,4796
width,20,4160
width,40,18176
width,80,219546
nss,1,16541
nss,2,225341
total_phy_tx,0,241882
rx_bytes_total,0,164750600
