field,value,count
mcs,0,2756
mcs,3,308
mcs,4,19008
mcs,5,56760
mcs,6,52448
mcs,7,58606
mcs,8,48576
mcs,9,126148
mcs,10,2640
mcs,11,12320
width,20,572
width,40,11028
width,80,367970
nss,1,11336
nss,2,368234
total_phy_tx,0,379570
rx_bytes_total,0,356944000
