time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,35950600,575.2096
1.5000,4.000,35072800,561.1648
2.0000,5.000,33248600,531.9776
2.5000,6.000,31824800,509.1968
3.0000,7.000,30594200,489.5072
3.5000,8.000,27867000,445.8720
4.0000,9.000,25579400,409.2704
4.5000,10.000,26481000,423.6960
5.0000,11.000,24340400,389.4464
5.5000,12.000,22092000,353.4720
6.0000,13.000,18937800,303.0048
6.5000,14.000,18596200,297.5392
7.0000,15.000,17220000,275.5200
7.5000,16.000,14310800,228.9728
8.0000,17.000,11419800,182.7168
8.5000,18.000,13486200,215.7792
9.0000,19.000,12220600,195.5296
9.5000,20.000,8947400,143.1584
10.0000,21.000,8909600,142.5536
