time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,30935800,494.9728
1.5000,8.500,28064400,449.0304
2.0000,11.000,20207600,323.3216
2.5000,13.500,14960400,239.3664
3.0000,16.000,15370600,245.9296
3.5000,18.500,11887400,190.1984
4.0000,21.000,9375800,150.0128
4.5000,23.500,7809200,124.9472
5.0000,26.000,5478200,87.6512
5.5000,28.500,4285400,68.5664
6.0000,31.000,5201000,83.2160
6.5000,33.500,3325000,53.2000
7.0000,36.000,3022600,48.3616
7.5000,38.500,2591400,41.4624
8.0000,41.000,891800,14.2688
8.5000,43.500,1012200,16.1952
9.0000,46.000,301000,4.8160
9.5000,48.500,221200,3.5392
10.0000,51.000,191800,3.0688
