field,value,count
mcs,0,639
mcs,1,484
mcs,2,1936
mcs,3,4620
mcs,4,17556
mcs,5,8448
mcs,6,12892
mcs,7,43296
mcs,8,24200
mcs,9,233121
mcs,10,32296
mcs,11,51964
mcs,12,19008
mcs,13,40084
width,20,129
width,80,490415
nss,1,639
nss,2,489905
total_phy_tx,0,490544
rx_bytes_total,0,637306600
