time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,31036600,496.5856
1.5000,4.000,33905200,542.4832
2.0000,5.000,32117400,513.8784
2.5000,6.000,29766800,476.2688
3.0000,7.000,26730200,427.6832
3.5000,8.000,21921200,350.7392
4.0000,9.000,19285000,308.5600
4.5000,10.000,21289800,340.6368
5.0000,11.000,17438400,279.0144
5.5000,12.000,18097800,289.5648
6.0000,13.000,14355600,229.6896
6.5000,14.000,18956000,303.2960
7.0000,15.000,15988000,255.8080
7.5000,16.000,12583200,201.3312
8.0000,17.000,10985800,175.7728
8.5000,18.000,12079200,193.2672
9.0000,19.000,12332600,197.3216
9.5000,20.000,7784000,124.5440
10.0000,21.000,8559600,136.9536
