field,value,count
mcs,0,4247
mcs,1,881
mcs,2,1789
mcs,3,4328
mcs,4,55819
mcs,5,14429
mcs,6,10435
mcs,7,55664
mcs,8,14036
mcs,9,55968
mcs,10,7260
mcs,11,8360
width,20,7909
width,40,20276
width,80,205031
nss,1,24748
nss,2,208468
total_phy_tx,0,233216
rx_bytes_total,0,170786000
